**********************************************
	Wed Sep 24 21:24:55 2025
	Device Name: STM32F101/F102/F103 Medium-density
**********************************************
	>>>>>> Reception Started <<<<<<

Angle: 0.0000		Command: 0.0500 
Angle: -0.0004		Command: 0.1000 
Angle: -0.0004		Command: 0.1500 
Angle: -0.0004		Command: 0.2000 
Angle: -0.0004		Command: 0.2500 
Angle: -0.0004		Command: 0.3000 
Angle: -0.0004		Command: 0.3500 
Angle: -0.0004		Command: 0.4000 
Angle: -0.0004		Command: 0.4500 
Angle: -0.0004		Command: 0.5000 
Angle: -0.0004		Command: 0.5500 
Angle: -0.0004		Command: 0.6000 
Angle: -0.0004		Command: 0.6500 
Angle: -0.0004		Command: 0.7000 
Angle: -0.0004		Command: 0.7500 
Angle: -0.0004		Command: 0.8000 
Angle: -0.0004		Command: 0.8500 
Angle: -0.0004		Command: 0.9000 
Angle: -0.0004		Command: 0.9500 
Angle: -0.0004		Command: 1.0000 
Angle: -0.0004		Command: 1.0000 
Angle: -0.0004		Command: 1.0000 
Angle: -0.0004		Command: 1.0000 
Angle: -0.0004		Command: 1.0000 
Angle: -0.0004		Command: 1.0000 
Angle: -0.0004		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0045		Command: 1.0000 
Angle: 0.0027		Command: 1.0000 
Angle: 0.0027		Command: 1.0000 
Angle: 0.0027		Command: 1.0000 
Angle: 0.0027		Command: 1.0000 
Angle: 0.0027		Command: 1.0000 
Angle: 0.0027		Command: 1.0000 
Angle: 0.0027		Command: 1.0000 
Angle: 0.0027		Command: 1.0000 
Angle: 0.0027		Command: 1.0000 
Angle: 0.0027		Command: 1.0000 
Angle: 0.0027		Command: 1.0000 
Angle: Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0124		Command: 1.0000 
Angle: 0.0180		Command: 1.0000 
Angle: 0.0180		Command: 1.0000 
Angle: 0.0180		Command: 1.0000 
Angle: 0.0180		Command: 1.0000 
Angle: 0.0180		Command: 1.0000 
Angle: 0.0180		Command: 1.0000 
